,host_id,price,room_type,bedrooms,beds,bathrooms,bed_type
820,1455158,120,Entire home/apt,1.0,1.0,1.0,Real Bed
821,1456611,73,Private room,1.0,1.0,1.0,Real Bed
822,1457642,195,Entire home/apt,1.0,4.0,1.0,Real Bed
823,1457642,190,Entire home/apt,1.0,2.0,1.0,Real Bed
824,1458620,249,Entire home/apt,2.0,2.0,1.0,Real Bed
825,1458717,87,Entire home/apt,1.0,2.0,1.0,Real Bed
826,1460429,99,Entire home/apt,1.0,1.0,1.0,Real Bed
827,1461836,80,Entire home/apt,1.0,1.0,1.0,Real Bed
828,1464510,169,Entire home/apt,3.0,2.0,1.0,Real Bed
829,1464510,199,Entire home/apt,3.0,3.0,1.0,Real Bed
830,1464510,139,Entire home/apt,2.0,2.0,1.0,Real Bed
831,1464510,129,Entire home/apt,2.0,2.0,2.0,Real Bed
832,1464510,99,Entire home/apt,2.0,2.0,1.0,Real Bed
833,1464510,149,Entire home/apt,2.0,2.0,1.0,Real Bed
834,1464510,99,Entire home/apt,2.0,2.0,1.0,Real Bed
835,1464510,85,Entire home/apt,2.0,2.0,1.0,Real Bed
836,1464510,199,Entire home/apt,2.0,2.0,1.0,Real Bed
837,1464510,129,Entire home/apt,2.0,2.0,1.0,Real Bed
838,1464510,99,Entire home/apt,2.0,3.0,1.0,Real Bed
